Date,Amount,Purpose,Campaign Name,Payee Name,cpf_payee_info_address,city_name,state_abbreviation,zip_code,Campaign Type,Race,District Number,,,,
1/4/2013,250,Tickets for Anniversary Celebration,Charlie Brown for City Council,Tesoro Foundation,19192 Colorado 8 ,Morrison,CO,80465,Candidate,District Councilmember,Council District 6,,,,
1/4/2014,400,Contribution,Charlie Brown for City Council,Rocky Mountain PBS,1089 Bannock St,Denver,CO,80204,Candidate,District Councilmember,Council District 6,,,,
1/4/2015,10,Office Supplies,Nevitt for Auditor,Google Apps,1600 Amphitheatre Parkway,Mountain View,CO,94043,Candidate,Auditor,,,,,
1/4/2015,54,Meeting Room Reservation,Committee to Elect Stacie Gilmore,Denver Manager of Finance,201 W. Colfax Ave, Dept 1010,Denver,CO,80202,Candidate,District Councilmember,Council District 11,,,
1/4/2015,125,Website Hosting Services,Chris Wedor for Denver City Council,Wix.com,PO BOX 40190,San Francisco,CA,94110,Candidate,District Councilmember,Council District 10,,,,
1/5/2015,220.19,Credit Card Processing Fee,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/5/2015,214.36,Credit Card Processing Fee,Hancock for Denver,First Data Corp.,5565 Glenridge Connector NE #2000,Atlanta,GA,30342,Candidate,Mayor,,,,,
1/5/2015,1900,Consulting Fee,Shepherd for Northwest Denver,Dave  Sabados,4238 Eliot Sr,Denver,CO,80211,Candidate,District Councilmember,Council District 1,,,,
1/5/2015,1000,Campaign consultant,Susman for City Council,Compass Strategy Group,4238 Eliot St,Denver,CO,80211,Candidate,District Councilmember,Council District 5,,,,
1/5/2015,44.9,CC Processing,The Committee to Elect Michael Borcherding,Meritcard Solutions,311 Cesar Chavez Blvd,Dallas,TX,75201,Candidate,District Councilmember,Council District 9,,,,
1/5/2015,20,CC Processing,The Committee to Elect Michael Borcherding,Authorize.net,PO BOX 947,American Fork,UT,84003,Candidate,District Councilmember,Council District 9,,,,
1/5/2015,17.65,Fees,Kendra Black for District 4 City Council,Square, Inc.,1455 Market St.,San Francisco,CA,94103,Candidate,District Councilmember,Council District 4,,,
1/5/2015,18,Credit Card Processing,Wayne New for City Council,Authnet Gateway Billling,P.O. Box 947,American Fork,UT,84003,Candidate,District Councilmember,Council District 10,,,,
1/5/2015,18.45,Credit Card Processing,Wayne New for City Council,Mastercard,2000 Purchase Street,Purchase,NY,10577,Candidate,District Councilmember,Council District 10,,,,
1/5/2015,1719.4,Advertising,Wayne New for City Council,The Denver Post,PO Box 17930,Denver,CO,80217,Candidate,District Councilmember,Council District 10,,,,
1/5/2015,60.97,Card Processing Fees,Aaron Greco for Denver ,Democracy Engine,2125 14th Street Northwest,Washington,DC,20009,Candidate,District Councilmember,Council District 7,,,,
1/5/2015,30,service fee,O'Brien for Auditor,Pay Pal,2211 North First Street,San Jose,CA,95131,Candidate,Auditor,,,,,
1/8/2015,99,Mailing List Software,The Committee to Elect Michael Borcherding,Arclab Software GbR,Online,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,,,
1/8/2015,26.07,Office supplies,Halisi Vinson for Denver,Target,7777 E. Hampden Ave,Denver,CO,80231,Candidate,District Councilmember,Council District 4,,,,
1/8/2015,70.43,Bank Fees,Nevitt for Auditor,ActBlue,PO Box 441146,Somerville,MA,2114,Candidate,Auditor,,,,,
1/8/2015,31.31,Office Supplies,Kashmann For Council - Denver District 6,Staples,870 South Colorado Boulevard,Glendale,CO,80246,Candidate,District Councilmember,Council District 6,,,,
1/8/2015,32.29,supplies,O'Brien for Auditor,Fast Signs,1485 S Colorado Blvd #150,Denver,CO,80222,Candidate,Auditor,,,,,
1/8/2015,67.52,Bank Fees,Adams for Denver City Council,Act Blue,366 Summer Street,Somerville,MA,2114,Candidate,District Councilmember,Council District 6,,,,
1/8/2015,925.53,Fund raising envelopes,Labuda for Denver,Egan Printing Company,1245 Elati St.,Denver,CO,80204,Candidate,District Councilmember,Council District 2,,,,
1/8/2015,96.39,Printing,Citizens for John Kidd,Vistaprint,95 Hayden Ave,Lexington,MA,2421,Candidate,District Councilmember,Council District 2,,,,
1/8/2015,99,Supplies,Committee to elect Jake Viano,Amazon ,410 Terry AVE N,Seattle,WA,98109,Candidate,District Councilmember,Council District 7,,,,
1/8/2015,400,VAN Membership,Committee to Elect Stacie Gilmore,Colorado Democratic Party,789 Sherman Street, Suite #110,Denver,CO,80203,Candidate,District Councilmember,Council District 11,,,
1/9/2012,148.82,Event Catering,Hancock for Denver,The Corner Bakery,1147 16th St. ,Denver,CO,80202,Candidate,Mayor,,,,,
1/9/2013,3,bank fee,Denver County Republican Central Committee,Wells Fargo,101 N. Phillips Ave,Sioux Falls,ND,57104,PAC,,,,,,
1/9/2013,16.49,Food and Beverage,Albus Brooks for City Council,Cap City Tavern,1247 Bannock,Denver,CO,80204,Candidate,District Councilmember,Council District 8,,,,
1/9/2013,500,Website,Albus Brooks for City Council,Mark Krause,PO Box 181268 ,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,,
1/9/2014,464.83,Republican Breakfast meeting,Denver County Republican Central Committee,Holiday Inn Denver Cherry Creek,455 S Colorado Blvd,Denver,CO,80246,PAC,,,,,,
1/9/2014,3,Bank Fees,Albus Brooks for City Council,Wells Fargo ,2559 Welton St,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
1/9/2015,5509.39,Fundraising Consulting & Reimbursement,Hancock for Denver,Philanthropy Expert LLC,1045 Lincoln St. Suite 205,Denver,CO,80203,Candidate,Mayor,,,,,
1/9/2015,845.76,Printing,Hancock for Denver,C&D Printing,5351 Tennyson St. Unit 1-C,Denver,CO,80212,Candidate,Mayor,,,,,
1/9/2015,400,Social Media,Wayne New for City Council,Diana Crawford PR LLC,1066 Pennsylvania Street,Denver,CO,80203,Candidate,District Councilmember,Council District 10,,,,
1/9/2015,326.25,Advertising,Wayne New for City Council,Doan Design,1682 East Euclid Avenue,Centennial,CO,80121,Candidate,District Councilmember,Council District 10,,,,
1/9/2015,300,Advertising,Rafael Espinoza for District Councilmember,NORTH DENVER TRIBUNE,P.O. BOX 12009,Denver,CO,80212,Candidate,District Councilmember,Council District 1,,,,
1/9/2015,594.32,Printing,Committee to Elect Stacie Gilmore,C&D Printing, Inc.,5351 Tennyson Street, Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 11,,
1/9/2015,11.39,Meeting Food,Committee to Elect Stacie Gilmore,Starbucks,4505 Peoria Street,Denver,CO,80239,Candidate,District Councilmember,Council District 11,,,,
1/9/2015,6.48,Meeting Food,Committee to Elect Stacie Gilmore,Starbucks,4505 Peoria Street,Denver,CO,80239,Candidate,District Councilmember,Council District 11,,,,
1/9/2015,276.88,Printed marketing materials,Anna Jones For City Council,C & D Printing,5351 Tennyson St Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 10,,,,
1/9/2015,31.44,Lunch strategy meeting,Anna Jones For City Council,City Grille,321 E Colfax Ave,Denver,CO,80203,Candidate,District Councilmember,Council District 10,,,,
1/10/2012,1000,Contribution,Denver Firefighters Local 858 PAC,Albrus Brooks for City Council,3815 Steele Street,Denver,CO,80205,PAC,,,,,,
1/10/2012,15,p.o. box charge,Linkhart for Mayor,Post Office,500 W. 14th Ave.,Denver,CO,80204,Candidate,Mayor,,,,,
1/10/2013,8,Parking,Albus Brooks for City Council,DoubleTree ,3203 Quebec St,Denver,CO,80207,Candidate,District Councilmember,Council District 8,,,,
1/10/2013,72.62,Office Equipment,Albus Brooks for City Council,Best Buy,4100 E Mexico Ave Denver, CO,Denver,CO,80222,Candidate,District Councilmember,Council District 8,,,
1/10/2013,140.8,Event Food & Beverage,Hancock for Denver,Capital Grille,1450 Larimer St.,Denver,CO,80202,Candidate,Mayor,,,,,
1/10/2013,38,P.O. Box Rental,Mejia for Mayor,USPS,7755 E 56th Ave,Denver,CO,80266,Candidate,Mayor,,,,,
1/10/2014,59.6,Banking Fees,Kniech for Council At-Large,TransFirst,12202 Airport Way Suite 100,Broomfield,CO,80212,Candidate,Council-At-Large,,,,,
1/10/2015,1400,Consulting,Sean Bradley for Denver City Council District 11,Danny Glover,26 South Sherman Street,Denver,CO,80206,Candidate,District Councilmember,Council District 11,,,,
1/11/2012,210,Holiday Party ,Hancock for Denver,Denver Musum of Nature and Science Catering,2001 Colorado Blvd.,Denver,CO,80205,Candidate,Mayor,,,,,
1/11/2012,2865.3,Holiday Party ,Hancock for Denver,Denver Musum of Nature and Science Catering,2001 Colorado Blvd.,Denver,CO,80205,Candidate,Mayor,,,,,
1/11/2013,66,bank card fee,Denver County Republican Central Committee,Wells Fargo,101 N. Phillips Ave,Sioux Falls,ND,57104,PAC,,,,,,
1/11/2013,105.99,Web site hosting,Ortega at Large,GoDaddy,14455 N. Hayden Rd #219,Scottsdale,AZ,85260,Candidate,Council-At-Large,,,,,
1/11/2014,25.09,Auction Items,Gallagher for Auditor,Thrift Center,3777 Kipling,Wheat Ridge,CO,80030,Candidate,Auditor,,,,,
1/13/2015,250,Consulting services,Anna Jones For City Council,Ben Gelt,861 Humboldt Apt C,Denver,CO,80218,Candidate,District Councilmember,Council District 10,,,,
1/13/2015,200,Photographs,Anna Jones For City Council,Evan Semon,101 W Irvington Pl Apt 2,Denver,CO,80223,Candidate,District Councilmember,Council District 10,,,,
1/13/2015,400,Voter File Access Dist 10,Anna Jones For City Council,Colorado Democratic Party,789 Sherman St Suite 110,Denver,CO,80203,Candidate,District Councilmember,Council District 10,,,,
1/14/2012,200,photographs, cds,Linkhart for Mayor,Bernard Grant Photography,36 Steele St.,Denver,CO,80206,Candidate,Mayor,,,,
1/14/2013,540.36,Travel-Airfare,Hancock for Denver,Frontier Airlines,7001 Tower Road,Denver,CO,80249,Candidate,Mayor,,,,,
1/14/2013,400,Email Distribution Service,Hancock for Denver,Wired for Change,1700 Connecticut Ave. NW Suite 403,Washington,DC,20009,Candidate,Mayor,,,,,
1/14/2014,25,Communication,Albus Brooks for City Council,Constant Contact,3675 Precision Dr,Loveland,CO,80538,Candidate,District Councilmember,Council District 8,,,,
1/14/2014,10.55,Communication,Albus Brooks for City Council,Send Out Cards LLC,1825 Research Way,Salt Lake City,UT,84119,Candidate,District Councilmember,Council District 8,,,,
1/14/2015,38.93,Food and Beverage,Albus Brooks for City Council,Wok Uptown,1789 Ogden Street,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,,
1/14/2015,718.31,Event Food & Beverage,Hancock for Denver,Capital Grille,1450 Larimer St.,Denver,CO,80202,Candidate,Mayor,,,,,
1/14/2015,50,Kick off location fee,Jose G. Silva for Denver,Casslemans,2620 Wlanut Street,Denver,CO,80205,Candidate,Council-At-Large,,,,,
1/14/2015,50,Business cards,Jose G. Silva for Denver,Rated Fresh,670 South Federal Blvd,Denver,CO,80219,Candidate,Council-At-Large,,,,,
1/14/2015,326.42,Banner, Name tag,Jose G. Silva for Denver,Otis Jackson,901 Montview Blvd,Denver,CO,80207,Candidate,Council-At-Large,,,,
1/14/2015,500,Consulting,Campaign to Elect Shelli Brown,Ben Gelt,861 Humboldt Street,Denver,CO,80218,Candidate,District Councilmember,Council District 11,,,,
1/14/2015,1.95,Processing Fee,Campaign to Elect Shelli Brown,Democracy.com,411 Lafayette Street, 6th Floor,New York,NY,10003,Candidate,District Councilmember,Council District 11,,,
1/14/2015,43.18,Phone,Kendra Black for District 4 City Council,Virgin Mobile,P.O. Box 686,Parsippany,NY,7054,Candidate,District Councilmember,Council District 4,,,,
1/14/2015,11.65,Card Processing Fees,Aaron Greco for Denver ,Democracy Engine,2125 14th Street Northwest,Washington,DC,20009,Candidate,District Councilmember,Council District 7,,,,
1/14/2015,161.58,Event supplies,Rafael Espinoza for District Councilmember,GRAPHICS DEPARTMENT, LLC,3843 TENNYSON ST,Denver,CO,80212,Candidate,District Councilmember,Council District 1,,,
1/15/2014,35.73,Food and Beverage,Albus Brooks for City Council,Thai Basil,1422 E 18th Ave,Denver,CO,80218,Candidate,District Councilmember,Council District 8,,,,
1/15/2014,200,Travel - Meals,Albus Brooks for City Council,Cash,1717 Grant Street,Denver,CO,80203,Candidate,District Councilmember,Council District 8,,,,
1/15/2014,58.5,Supplies,Nevitt for Auditor,Community Banks of Colorado,1085 Acoma,Denver,CO,80204,Candidate,Auditor,,,,,
1/15/2014,0.57,Credit Card Process Fee,Nevitt for Auditor,ActBlue,PO Box 441146,Somerville,MA,2114,Candidate,Auditor,,,,,
1/15/2015,190,Refund of Lincoln Day Dinner Tickets,Denver County Republican Central Committee,Dawne Murray,3244 S Columbine St,Denver,CO,80210,PAC,,,,,,
1/15/2015,250,Deposit for Golf Fundraiser,Teamsters Local No. 17 Political Action Committee,Park Hill Golf Course,4141 E 35th Avenue,Denver,CO,80207,PAC,,,,,,
1/15/2015,89.36,Printing,Halisi Vinson for Denver,OFFICE MAX ,2730 S Colorado Blvd,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
1/15/2015,91.48,Printer toner,Halisi Vinson for Denver,OFFICE MAX ,2730 S Colorado Blvd,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
1/15/2015,9.37,Bank Fees,Nevitt for Auditor,Litle and Co,900 Chelmsford St,Lowell,MA,1851,Candidate,Auditor,,,,,
1/15/2015,2880,Advertising,Committee to elect Bill McMullen,Outdoor Promotions,7100 Broadway #70,Denver,CO,80221,Candidate,District Councilmember,Council District 4,,,,
1/15/2015,275,Web Site Design,Committee to elect Bill McMullen,CarMa,1000 S Broadway  #107,Denver,CO,80209,Candidate,District Councilmember,Council District 4,,,,
1/15/2015,164.38,supplies,O'Brien for Auditor,Dr Dons Buttons,3906 W Morrow Drive,Glendale,AZ,85308,Candidate,Auditor,,,,,
1/15/2015,1000,Campaign Management,Adams for Denver City Council,Marguerita ten Houten,777 Corona Street, Apt 6,Denver,CO,80218,Candidate,District Councilmember,Council District 6,,,
1/15/2015,10,Counter Checks 1590-99 purchase,Labuda for Denver,Key Bank ,2693 West Evans Ave.,Denver,CO,80219,Candidate,District Councilmember,Council District 2,,,,
1/15/2015,49,Stamps,Labuda for Denver,USPS Bear Valley Station,7555 W. Amherst Ave.,Denver,CO,80227,Candidate,District Councilmember,Council District 2,,,,
1/15/2015,22.82,Sears Interest Charge,Labuda for Denver,Sears Credit Cards,PO Box 688957,Des Moines,IA,50368,Candidate,District Councilmember,Council District 2,,,,
1/15/2015,53.81,campaign phone,McGihon for City Council,T-Mobile,545 South Broadway Suite 301,Denver,CO,80209,Candidate,District Councilmember,Council District 7,,,,
1/15/2015,1392.56,Printed walking pieces,Anna Jones For City Council,C & D Printing,5351 Tennyson St Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 10,,,,
1/15/2015,250,Graphic design,Chiari for Denver,Kyle Dill,3350 Brighton Blvd Ste 202,Denver,CO,80216,Candidate,District Councilmember,Council District 10,,,,
1/16/2013,100,Reimbursement-Travel Expense,Albus Brooks for City Council,Albus Brooks,3651 Vine St,Denver,CO,80205,Candidate,District Councilmember,Council District 8,,,,
1/19/2012,258.52,reimbursement for AT&T, BB voter contact,Judy Montero Victory Fund,Judy Montero,2000 Little Raven, #1A,Denver,CO,80202,Candidate,District Councilmember,Council District 9,,
1/19/2012,10,Periodic Report,Denver First, A Political Committee,Colorado Secretary of State,1700 Broadway,Denver,CO,80290,Candidate,Mayor,,,,
1/19/2013,8.56,Auction Items,Gallagher for Auditor,Savers,7667 W. Jewel Ave,Lakewood,CO,80232,Candidate,Auditor,,,,,
1/19/2013,52.43,Auction Items,Gallagher for Auditor,Goodwill,1450 S. Wadsworth,Lakewood,CO,80226,Candidate,Auditor,,,,,
1/19/2015,250,Contribution,Charlie Brown for City Council,John Suthers for Mayor,PO Box 61117,Colorado Springs,CO,80960,Candidate,District Councilmember,Council District 6,,,,
1/19/2015,0.78,Processing Fee,Campaign to Elect Shelli Brown,Democracy.com,411 Lafayette Street, 6th Floor,New York,NY,10003,Candidate,District Councilmember,Council District 11,,,
1/19/2015,517.36,Fundraising Supplies,Adams for Denver City Council,C & D Printing,5351 Tennyson Street, Unit 1-C,Denver,CO,80212,Candidate,District Councilmember,Council District 6,,,
1/19/2015,225,Photography,Adams for Denver City Council,Altitude Arts, LLC,3371 W Belmont Ave.,Littleton,CO,80123,Candidate,District Councilmember,Council District 6,,,
1/19/2015,100,Ad design fees,Anna Jones For City Council,Breanne Baab,1940 N Lincoln Ave Unit 502,Chicago,IL,60614,Candidate,District Councilmember,Council District 10,,,,
1/19/2015,58.9,Campaign Office Supplies,Chris Wedor for Denver City Council,Office Depot,616 E Colfax Ave,Denver,CO,80203,Candidate,District Councilmember,Council District 10,,,,
1/20/2012,30,Meeting with Council member,Charlie Brown for City Council,Three Dog Tavern,3390 W. 32nd Ave,Denver,CO,80211,Candidate,District Councilmember,Council District 6,,,,
1/20/2012,750,administrative duties,Edson for Denver,Darcy  Tibbles,325  Inverness Drive S,Englewood,CO,80112,Candidate,District Councilmember,Council District 8,,,,
1/20/2012,1000,Consulting Fee,Hickenlooper for Mayor,Hansen Communications,3087A Tejon St,Denver,CO,80211,Candidate,Mayor,,,,,
1/20/2013,64,Constituent Dinner,Charlie Brown for City Council,Pino's,1400 E. Hampden,Englewood,CO,80113,Candidate,District Councilmember,Council District 6,,,,
1/20/2013,1500,Contribution to Other,Hancock for Denver,Epworth Foundation,1865 Bruce Randolph Ave.,Denver,CO,80205,Candidate,Mayor,,,,,
1/20/2013,90.75,Flowers,Hancock for Denver,Michael Jultak Flowers,5151 E. Colfax,Denver,CO,80220,Candidate,Mayor,,,,,
1/20/2013,85.75,Flowers,Hancock for Denver,Michael Jultak Flowers,5151 E. Colfax,Denver,CO,80220,Candidate,Mayor,,,,,
1/20/2014,46.92,Auction Items,Gallagher for Auditor,ARC,6791 West Colfax Ave.,Lakewood,CO,80212,Candidate,Auditor,,,,,
1/20/2015,25.92,Food and Beverage,Albus Brooks for City Council,Cleatz,8336 Northfield Boulevard,Denver,CO,80203,Candidate,District Councilmember,Council District 8,,,,
1/20/2015,123,Subscription,Charlie Brown for City Council,Newsweek, Forbes, Natl Geographic,on line subscription services,New York,NY,10014,Candidate,District Councilmember,Council District 6,,
1/20/2015,30,account maintenance,Kniech for Council At-Large,Colorado Secretary of State,1700 Broadway #200,Denver,CO,80290,Candidate,Council-At-Large,,,,,
1/20/2015,1525.71,Laptop computer for campaign,Ortega at Large,Best Buy,#1134,Aurora,CO,80011,Candidate,Council-At-Large,,,,,
1/20/2015,238.69,Computer software,Ortega at Large,Best Buy,#1134,Aurora,CO,80011,Candidate,Council-At-Large,,,,,
1/20/2015,750,Printing Design,Campaign to Elect Shelli Brown,ESH LLC,1718 S Cody Street,Lakewood,CO,80232,Candidate,District Councilmember,Council District 11,,,,
1/20/2015,73.68,Marketing,Kendra Black for District 4 City Council,Name Tag, Inc.,2211 S. 300 West,Salt Lake City,UT,84115,Candidate,District Councilmember,Council District 4,,,
1/20/2015,30,Marketing,Kendra Black for District 4 City Council,MailChimp,512 Means St., Suite 404,Atlanta,GA,30318,Candidate,District Councilmember,Council District 4,,,
1/20/2015,16.13,Office Supplies,Kendra Black for District 4 City Council,Office Max,2730 S. Colorado Blvd.,Denver,CO,80222,Candidate,District Councilmember,Council District 4,,,,
1/20/2015,300,Marketing,Kendra Black for District 4 City Council,Evan Semon,101 W. Irvington Pl. #2,Denver,CO,80223,Candidate,District Councilmember,Council District 4,,,,
1/20/2015,3500,Consultants,Jolon Clark for Denver,Citizen Outreach Matters,800 Pearl St #1011,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,,,
1/20/2015,500,Politcal Consulting,Kashmann For Council - Denver District 6,Ben Gelt,861 Humboldt Apt.,Denver,CO,80218,Candidate,District Councilmember,Council District 6,,,,
1/20/2015,11.06,PVC and Twine,Kashmann For Council - Denver District 6,Home Depot,860 S Colorado Blvd,Glendale,CO,80246,Candidate,District Councilmember,Council District 6,,,,
1/20/2015,27.68,Office Supplies,Kashmann For Council - Denver District 6,Office Max,2730 S. Colorado Blvd.,Denver,CO,80245,Candidate,District Councilmember,Council District 6,,,,
1/20/2015,1250,Consulting,Aaron Greco for Denver ,Clinton Thomas,6942 E Mexico Ave,Denver,CO,80224,Candidate,District Councilmember,Council District 7,,,,
1/20/2015,55.93,Fundraising Supplies,Adams for Denver City Council,OfficeMax,616 E Colfax Ave.,Denver,CO,80203,Candidate,District Councilmember,Council District 6,,,,
1/20/2015,50,Ads,Citizens for John Kidd,Facebook, Inc.,1601 Willow Rd,Menlo Park,CA,94025,Candidate,District Councilmember,Council District 2,,,
1/20/2015,272.84,Advertising,Committee to elect Jake Viano,Facebook Ads,PO Box 10005,Palo Alto,CA,94303,Candidate,District Councilmember,Council District 7,,,,
1/20/2015,52.28,Volunteers,Committee to elect Jake Viano,Einstein Bagels,1025 East 9th Avenue,Denver,CO,80218,Candidate,District Councilmember,Council District 7,,,,
1/20/2015,52.28,Campaign Meeting,Committee to elect Jake Viano,Fourteen Seventy Two,1472 South Pearl Street,Denver,CO,80210,Candidate,District Councilmember,Council District 7,,,,
1/23/2015,200,Dinner Fund,Albus Brooks for City Council,Manager of Finance,201 W. Colfax Ave,Denver,CO,80202,Candidate,District Councilmember,Council District 8,,,,
1/23/2015,178,Bob Gollick Memorial Expenses,Charlie Brown for City Council,Whole Foods,7400 E. Hampden Ave,Denver,CO,80231,Candidate,District Councilmember,Council District 6,,,,
1/23/2015,4390,Consulting - Compliance/Bookkeeping,Hancock for Denver,Sandy Partyka,PO Box 533,Indian Hills,CO,80454,Candidate,Mayor,,,,,
1/23/2015,1148.94,reinbursement for Xmas Party,Gallagher for Auditor,Gary Sulley,4849 W. 32nd Avenue,Denver,CO,80212,Candidate,Auditor,,,,,
1/23/2015,1250,Consulting Fee,Shepherd for Northwest Denver,Sara Vitale,5280 W 17th Ave,Lakewood,CO,80214,Candidate,District Councilmember,Council District 1,,,,
1/23/2015,50,Research Fee,Shepherd for Northwest Denver,Denver Community Credit Union,1075 Acoma St,Denver,CO,80204,Candidate,District Councilmember,Council District 1,,,,
1/23/2015,210,Check Copies,Shepherd for Northwest Denver,Denver Community Credit Union,1075 Acoma St,Denver,CO,80204,Candidate,District Councilmember,Council District 1,,,,
1/23/2015,500,Campaign Advice,Halisi Vinson for Denver,Noble Johnsen LLC,3636 Kearney St.,Denver,CO,80207,Candidate,District Councilmember,Council District 4,,,,
1/23/2015,500,Cam. Mgr Fee,Jose G. Silva for Denver,Hugo Palma,2185 Farnsworth Drive,Colorado Springs,CO,80916,Candidate,Council-At-Large,,,,,
1/23/2015,1.95,Processing Fee,Campaign to Elect Shelli Brown,Democracy.com,411 Lafayette Street, 6th Floor,New York,NY,10003,Candidate,District Councilmember,Council District 11,,,
1/23/2015,350.48,Stationary,Kashmann For Council - Denver District 6,C & D Printing,#1C, 5351 Tennyson Street,Denver,CO,80212,Candidate,District Councilmember,Council District 6,,,
1/23/2015,35,Email Service,Citizens for John Kidd,Constant Contact,1601 Trapelo Road,Waltham,MA,2451,Candidate,District Councilmember,Council District 2,,,,
1/23/2015,200,Voter file access,Mateos Alvarez for District 7, LLC,Colorado Democrats,789 Sherman St, Suite 110,Denver,CO,80203,Candidate,District Councilmember,Council District 7,,
1/24/2012,22,Membership,Charlie Brown for City Council,National Museum of American Indian,Independence Ave. SW,Washington,DC,20560,Candidate,District Councilmember,Council District 6,,,,
1/24/2012,12,Occupational Privilege Tax,Denver First, A Political Committee,City of Denver,201 W. Colfax,Denver,CO,80204,Candidate,Mayor,,,,
1/24/2013,125,Consulting Fees,Debra for Denver,Strategic Campaign Management,1551 Larimer,Denver,CO,80202,Candidate,Clerk & Recorder,,,,,
1/24/2013,0.45,Internet Media,Mejia for Mayor,Google, Inc.,1600 Amphitheatre Parkway,Mountain View,CA,94043,Candidate,Mayor,,,,
1/24/2013,12,Bank Service Charge,Teamsters Local No. 17 Political Action Committee,Chase Bank,P O Box 65974,San Antonio,TX,78265,PAC,,,,,,
1/24/2014,2505,Consulting-Compliance/Bookkeeping,Hancock for Denver,Sandy Partyka,PO Box 533,Indian Hills,CO,80454,Candidate,Mayor,,,,,
